City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sobolevo,RU,2021-10-21 14:11:20,54.4299,31.8996,54.32,65,100,16.04
68,Zhezkazgan,KZ,2021-10-21 14:11:20,47.8043,67.7144,37.15,70,98,14.61
69,Bathsheba,BB,2021-10-21 14:11:21,13.2167,-59.5167,88.41,62,40,27.63
70,Kapaa,US,2021-10-21 14:06:31,22.0752,-159.319,71.58,99,75,1.01
71,Sengiley,RU,2021-10-21 14:11:21,53.9622,48.7944,43.54,80,100,19.33
72,Saint George,US,2021-10-21 14:11:22,37.1041,-113.5841,54.54,61,1,0.0
73,Mullovka,RU,2021-10-21 14:11:22,54.2,49.4,40.17,86,100,17.69
74,Sitka,US,2021-10-21 14:11:23,57.0531,-135.33,46.29,76,20,3.44
75,Hambantota,LK,2021-10-21 14:11:23,6.1241,81.1185,80.71,84,67,14.07
76,Constantine,DZ,2021-10-21 14:11:24,36.365,6.6147,77.32,17,13,10.0
77,Bluff,NZ,2021-10-21 14:11:24,-46.6,168.3333,42.33,83,4,7.43
78,Lebu,CL,2021-10-21 14:11:24,-37.6167,-73.65,53.94,84,72,14.65
79,Cape Town,ZA,2021-10-21 14:07:14,-33.9258,18.4232,71.89,63,95,10.0
80,Ponta Do Sol,PT,2021-10-21 14:11:25,32.6667,-17.1,77.0,64,9,4.32
81,Meulaboh,ID,2021-10-21 14:07:17,4.1363,96.1285,79.12,79,100,2.8
82,Bengkulu,ID,2021-10-21 14:11:26,-3.8004,102.2655,77.47,88,100,4.36
83,Carnarvon,AU,2021-10-21 14:11:26,-24.8667,113.6333,68.07,73,0,23.02
84,Kyabe,TD,2021-10-21 14:11:27,9.4515,18.9449,85.55,58,59,3.29
85,Salalah,OM,2021-10-21 14:11:27,17.0151,54.0924,80.69,74,0,6.91
86,Bontang,ID,2021-10-21 14:11:28,0.1333,117.5,80.28,81,89,4.07
87,Arraial Do Cabo,BR,2021-10-21 14:11:28,-22.9661,-42.0278,71.46,68,75,5.75
88,Chuy,UY,2021-10-21 14:11:29,-33.6971,-53.4616,67.03,51,0,3.53
89,Asau,RO,2021-10-21 14:11:29,46.4333,26.4,72.52,31,93,5.86
90,Maceio,BR,2021-10-21 14:11:30,-9.6658,-35.7353,90.84,62,75,9.22
91,Erzin,TR,2021-10-21 14:11:30,36.9559,36.2,84.72,33,0,2.42
92,Loreto,MX,2021-10-21 14:11:31,22.2667,-101.9667,59.07,79,7,6.33
93,San Patricio,US,2021-10-21 14:11:31,28.017,-97.5169,77.94,83,23,3.31
94,Magadan,RU,2021-10-21 14:11:31,59.5667,150.8,17.04,42,25,4.79
95,Sorland,NO,2021-10-21 14:11:32,67.667,12.6934,40.86,81,90,25.32
