City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,La Asuncion,VE,79.7,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
531,Paranhos,BR,77.97,clear sky,-23.8928,-55.4311,Hotel Saron
537,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
539,Bartica,GY,80.92,light rain,6.4,-58.6167,Sloth Island Nature Resort
540,Mbandaka,CD,75.49,overcast clouds,0.0487,18.2603,Guest House Epervier
541,Namatanai,PG,78.8,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
548,Bondo,CD,77.11,broken clouds,3.8146,23.6866,
554,Mogadishu,SO,79.72,broken clouds,2.0371,45.3438,Hotel Juba
556,Paita,PE,75.76,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
564,Quesada,CR,86.07,broken clouds,10.3238,-84.4271,Legacy Boutique Hotel
566,Safaga,EG,76.87,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
567,Sinnamary,GF,80.28,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
569,Yulara,AU,76.84,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
570,Dicabisagan,PH,75.52,light rain,17.0818,122.4157,Nancy Montanes Bernardo
573,Cosala,MX,83.46,clear sky,24.4125,-106.6908,Hotel Real del Conde
578,Mackay,AU,76.68,broken clouds,-21.15,149.2,International Lodge Motel
579,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
586,Boyolangu,ID,76.5,overcast clouds,-8.1181,111.8935,Yos ega cv
599,Wewak,PG,79.03,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
603,Barinas,VE,89.87,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
604,Mulki,IN,79.88,mist,13.1,74.8,Karnire Camping Ground
609,Filadelfia,US,76.93,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
620,Mgandu,TZ,79.61,scattered clouds,-5.95,34.1333,
624,Kirando,TZ,79.7,overcast clouds,-7.4167,30.6,Lakeshore Lodge
629,Douala,CM,76.96,overcast clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
630,Puro,PH,79.25,overcast clouds,12.4841,123.3827,
631,Salinopolis,BR,86.61,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
639,Biak,ID,77.27,broken clouds,-0.9131,122.8766,Penginapan Kim
647,Auki,SB,76.42,broken clouds,-8.7676,160.7034,Auki Motel
648,Luanda,AO,78.8,light rain,-8.8368,13.2343,Hotel Fórum
650,Mangrol,IN,79.23,clear sky,21.1167,70.1167,Hotel The Royal Honours
652,Nguruka,TZ,80.33,overcast clouds,-5.1092,31.0419,RUSULI LODGE
655,Benghazi,LY,76.21,broken clouds,32.1167,20.0667,Tibesti Hotel
664,Boende,CD,75.33,overcast clouds,-0.2167,20.8667,
665,Puerto Cabezas,NI,85.96,moderate rain,14.0351,-83.3888,Cabaña Caribe
667,Buin,CL,80.92,scattered clouds,-33.7333,-70.75,Paihuen
669,San Rafael,AR,89.08,clear sky,-34.6177,-68.3301,Hotel San Rafael
671,Howard Springs,AU,80.51,broken clouds,-12.497,131.047,buffalo beach hostel
672,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
674,Hirara,JP,76.42,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
676,Benjamin Hill,MX,78.13,clear sky,30.1667,-111.1,Hotel Benjamín Hill
680,Bonthe,SL,79.63,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
682,Teodoro Sampaio,BR,76.73,overcast clouds,-22.5325,-52.1675,MINI HOTEL
683,Dwarka,IN,79.41,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
684,Kondapalle,IN,79.65,broken clouds,16.6167,80.5333,Hotel Palagani's Castle
