City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Koumac,NC,-20.5667,164.2833,70.74,78,2,4.92,clear sky
80,Upernavik,GL,72.7868,-56.1549,14.92,64,12,6.78,few clouds
81,Arona,ES,28.0996,-16.681,70.12,65,75,16.11,broken clouds
82,Kavieng,PG,-2.5744,150.7967,81.32,76,10,4.68,clear sky
83,Cape Town,ZA,-33.9258,18.4232,75.11,58,0,5.01,clear sky
84,Butaritari,KI,3.0707,172.7902,81.5,72,7,4.14,clear sky
85,Hobart,AU,-42.8794,147.3294,49.86,80,90,1.99,overcast clouds
86,Jurm,AF,36.8648,70.8342,49.28,41,28,3.78,scattered clouds
87,Belaya Gora,RU,68.5333,146.4167,-5.78,99,80,1.36,broken clouds
88,Yar-Sale,RU,66.8333,70.8333,20.34,88,96,7.02,overcast clouds
89,Mount Gambier,AU,-37.8333,140.7667,39.11,87,7,3.44,clear sky
90,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,90,8.05,overcast clouds
91,Abu Samrah,SY,35.3029,37.1841,69.71,34,39,4.07,scattered clouds
92,Inhambane,MZ,-23.865,35.3833,85.98,51,20,16.11,few clouds
93,Geraldton,AU,-28.7667,114.6,54.01,87,75,6.91,broken clouds
94,Hermanus,ZA,-34.4187,19.2345,61.99,71,71,17.9,broken clouds
95,Batagay,RU,67.6333,134.6333,-1.89,99,73,1.63,broken clouds
96,Ormara,PK,25.2088,64.6357,78.87,54,0,3.67,clear sky
97,Barrow,US,71.2906,-156.7887,26.62,86,90,8.05,mist
98,Castro,BR,-24.7911,-50.0119,68.0,68,89,3.11,overcast clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,69.82,45,20,11.99,few clouds
100,Tiksi,RU,71.6872,128.8694,2.03,96,100,4.25,overcast clouds
101,Sangar,RU,63.9242,127.4739,17.22,97,99,4.14,overcast clouds
102,Ballina,AU,-28.8667,153.5667,64.58,94,100,0.0,overcast clouds
103,Payo,ID,-3.7508,103.6372,72.81,97,100,1.74,overcast clouds
104,Saint George,US,37.1041,-113.5841,69.64,34,1,1.99,clear sky
105,Atuona,PF,-9.8,-139.0333,77.13,77,72,15.93,broken clouds
106,Faya,SA,18.3851,42.4509,68.11,72,28,6.11,scattered clouds
107,Belturbet,IE,54.1,-7.45,47.52,88,53,5.5,broken clouds
108,Barda,AZ,40.3744,47.1267,57.06,51,80,25.03,broken clouds
109,Outjo,NA,-20.1167,16.15,89.13,6,2,19.39,clear sky
110,Santander Jimenez,MX,24.2167,-98.4667,84.81,58,100,3.24,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,21.04,63,40,25.32,scattered clouds
112,Khatanga,RU,71.9667,102.5,6.22,96,100,9.75,light snow
113,Touros,BR,-5.1989,-35.4608,88.7,55,6,17.69,clear sky
114,Aquiraz,BR,-3.9014,-38.3911,91.22,53,59,15.59,broken clouds
115,Codrington,AU,-38.2667,141.9667,39.31,92,1,7.43,clear sky
116,Torit,SS,4.4133,32.5678,82.24,46,80,3.06,broken clouds
117,Torbay,CA,47.6666,-52.7314,45.28,84,90,28.77,light intensity shower rain
118,Havelock,US,34.8791,-76.9013,71.98,90,75,1.01,broken clouds
119,Buwenge,UG,0.6422,33.1744,71.29,67,99,1.01,overcast clouds
120,Port Elizabeth,ZA,-33.918,25.5701,68.09,72,0,12.66,clear sky
121,Coahuayana,MX,18.7333,-103.6833,87.28,70,100,4.16,overcast clouds
122,Cururupu,BR,-1.8283,-44.8683,87.57,59,95,7.54,overcast clouds
123,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,68,87,2.24,overcast clouds
124,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,93,40,9.22,scattered clouds
125,Bolgatanga,GH,10.7856,-0.8514,93.47,31,36,5.46,scattered clouds
126,Mahebourg,MU,-20.4081,57.7,75.49,73,40,14.97,light rain
127,Qaqortoq,GL,60.7167,-46.0333,30.7,51,5,5.06,clear sky
128,Fountain Hills,US,33.6117,-111.7174,80.8,34,1,1.99,clear sky
129,Norman Wells,CA,65.282,-126.8329,23.04,93,90,0.0,overcast clouds
130,Zhuhai,CN,22.2769,113.5678,75.06,73,20,11.5,light rain
131,Xihe,CN,31.6864,113.4659,57.83,70,4,1.1,clear sky
132,Townsville,AU,-19.25,146.8,76.08,83,40,6.91,scattered clouds
133,Chokurdakh,RU,70.6333,147.9167,-19.77,100,95,0.27,overcast clouds
134,Bell Ville,AR,-32.6259,-62.6887,88.81,12,0,3.13,clear sky
135,Abha,SA,18.2164,42.5053,67.82,72,40,9.22,scattered clouds
136,Vila,PT,42.0304,-8.1588,56.34,74,55,3.42,broken clouds
137,Vaini,TO,-21.2,-175.2,71.76,88,20,5.75,few clouds
138,Whitehorse,CA,60.7161,-135.0538,22.01,93,75,4.61,mist
139,Guerrero Negro,MX,27.9769,-114.0611,69.42,67,18,12.68,few clouds
140,Bredasdorp,ZA,-34.5322,20.0403,63.72,68,49,13.8,scattered clouds
141,Souillac,MU,-20.5167,57.5167,75.58,73,40,14.97,light rain
142,Nueva Germania,PY,-23.9,-56.5667,84.94,32,0,2.77,clear sky
143,Dunmore East,IE,52.1514,-6.9861,56.68,78,40,6.91,scattered clouds
144,San Patricio,US,28.017,-97.5169,87.89,53,6,6.02,clear sky
145,Constitucion,CL,-35.3333,-72.4167,66.42,55,73,20.22,broken clouds
146,Kruisfontein,ZA,-34.0033,24.7314,65.88,81,1,14.18,clear sky
147,Valladolid,ES,41.5833,-4.6667,64.4,50,77,2.53,broken clouds
148,Clarksdale,US,34.2001,-90.5709,73.56,68,1,11.5,clear sky
149,Khorixas,NA,-20.3667,14.9667,77.45,23,0,16.53,clear sky
150,Robertsport,LR,6.7533,-11.3686,81.32,76,85,9.64,overcast clouds
151,Turukhansk,RU,65.8167,87.9833,16.18,97,99,8.57,overcast clouds
152,Puerto Madero,MX,14.7208,-92.4215,86.2,79,20,0.0,few clouds
153,Businga,CD,3.3333,20.8833,75.52,85,79,2.91,broken clouds
154,Macia,MZ,-25.0269,33.0989,66.45,95,100,6.49,light rain
155,Tasiilaq,GL,65.6145,-37.6368,31.06,80,100,22.48,light snow
156,Ust-Kan,RU,50.9276,84.761,37.0,79,87,3.2,overcast clouds
157,Dakar,SN,14.6937,-17.4441,88.68,70,0,9.22,clear sky
158,Juneau,US,58.3019,-134.4197,41.85,83,90,3.44,overcast clouds
159,Merauke,ID,-8.4667,140.3333,79.02,86,100,9.35,overcast clouds
160,Jumla,NP,29.2747,82.1838,45.0,86,5,3.33,clear sky
161,Skjervoy,NO,70.0311,20.9714,33.98,71,99,18.79,overcast clouds
